date,region,product,channel,revenue,units,discount_pct,customer_segment
2025-01-05,North,Alpha,Online,12400,155,5,Enterprise
2025-01-12,South,Beta,Partner,8200,110,8,SMB
2025-02-03,West,Alpha,Online,13950,171,4,Enterprise
2025-02-18,East,Gamma,Direct,9100,98,10,Midmarket
2025-03-07,North,Beta,Direct,10400,130,6,SMB
2025-03-22,South,Gamma,Online,7600,88,14,SMB
2025-04-04,West,Alpha,Partner,15100,184,3,Enterprise
2025-04-19,East,Beta,Online,9800,121,7,Midmarket
2025-05-08,North,Gamma,Direct,11350,127,9,Enterprise
2025-05-21,South,Alpha,Online,8900,118,12,SMB
2025-06-06,West,Beta,Direct,14300,162,5,Midmarket
2025-06-24,East,Gamma,Partner,8700,94,13,SMB
2025-07-05,North,Alpha,Online,16000,188,4,Enterprise
2025-07-20,South,Beta,Direct,7900,101,15,SMB
2025-08-03,West,Gamma,Partner,12000,132,8,Midmarket
2025-08-18,East,Alpha,Online,10200,124,11,Enterprise
2025-09-02,North,Beta,Partner,9400,116,12,SMB
2025-09-17,South,Gamma,Direct,6100,82,18,SMB
2025-10-04,West,Alpha,Online,17600,201,3,Enterprise
2025-10-21,East,Beta,Partner,11200,137,6,Midmarket
2025-11-09,North,Gamma,Direct,12100,139,7,Enterprise
2025-11-25,South,Alpha,Online,9300,122,13,SMB
2025-12-07,West,Beta,Direct,15400,173,4,Midmarket
2025-12-19,East,Gamma,Partner,9700,101,12,SMB
